requirement
Cloud Compute with AWS / GCP / Azure
Containterization with Docker / Kubernetes / Kubeflow
Automation / Scripting Linux proficiency / Bin Bash / PowerShell
ETL Extract Transform Load
Data Retrieval expertise using API's and WEB scraping techniques
proficiency in SQL queries
Python and or R using libraries like Pandas / Numpy / Scikit-learn
Modelling machine learning algorithms Regression / Classification / Deep learning
Evaluation of Machine Learning techniques monitoring the performance of the algorithms
Proficient in English
Management experience leading n people
presentation skills / communicative personality
Excellent writing skills
